City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
89,Pandan,PH,90.3,Clouds,14.0453,124.1694,Bonifacio Lodge
90,Yashkul,RU,81.48,Clear,46.1711,45.3435,Bon Voyazh
91,San Policarpo,PH,90.75,Clouds,12.1791,125.5072,JM Lodge
94,Port Blair,IN,83.79,Clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
97,Hambantota,LK,86.34,Clouds,6.1241,81.1185,Bungalow 63
99,Baghdad,IQ,85.91,Clear,33.3406,44.4009,Baghdad Hotel
104,Bontang,ID,82.49,Clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
108,Cabo San Lucas,MX,86.61,Clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
110,Hobyo,SO,77.22,Clouds,5.3505,48.5268,Halane Hotel and Restaurent
115,Yellowknife,CA,77.52,Clouds,62.456,-114.3525,The Explorer Hotel
117,Kendari,ID,81.9,Rain,-3.945,122.4989,Hotel Wixel
123,Mayo,US,75.15,Clear,38.8876,-76.5119,Resorts Resource Group International
124,Avarua,CK,75.25,Clouds,-21.2078,-159.775,Paradise Inn
129,Salalah,OM,77.09,Mist,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
131,Polewali,ID,83.46,Clouds,-3.4324,119.3435,Lilianto Hotel
132,Wajima,JP,86.68,Clouds,37.4,136.9,Wajiima Onsen Yashio
133,Buala,SB,78.13,Rain,-8.145,159.5921,Maringe Lagoon Lodge
136,Maryborough,AU,76.96,Clear,-25.5333,152.7,Blue Shades Motel
141,Ayorou,NE,82.45,Clouds,14.7308,0.9174,Hotel Amenokal
142,Kununurra,AU,93.18,Clouds,-15.7667,128.7333,Hotel Kununurra
146,Tomatlan,MX,76.26,Clouds,19.9333,-105.25,El Salvial
147,Samarai,PG,77.83,Clouds,-10.6167,150.6667,Nuli Sapi
152,Tual,ID,81.41,Clouds,-5.6667,132.75,Grand Vilia Hotel
157,Naze,JP,86.92,Clouds,28.3667,129.4833,奄美ポートタワーホテル
161,Funadhoo,MV,81.86,Clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
